Cantidad de afiliados al PDG por sexo y región en 2024;;;
Región;Femenino;Masculino;Total general
Arica;470;849;1.319
Tarapacá;528;1.016;1.544
Antofagasta;921;1.826;2.747
Atacama;375;705;1.080
Coquimbo;688;1.400;2.088
Valparaiso;1.367;2.850;4.217
Metropolitana;3.230;7.371;10.601
Libertador Bdo. O´higgins;643;1.351;1.994
Maule;693;1.428;2.121
Ñuble;330;696;1.026
Biobio;1.661;3.147;4.808
Araucania;656;1.330;1.986
Rios;344;649;993
Lagos;867;1.762;2.629
Aisen del Gral. Carlos Ibañez;272;415;687
Magallanes y Antartica;290;535;825
Internacional;56;133;189
Total General;13.391;27.463;40.854
;;;
*Obtenido en servel.cl ;;;
